,21 Apr,22 Apr,23 Apr,24 Apr,25 Apr,26 Apr,27 Apr,28 Apr,29 Apr,30 Apr,1 May,TOTAL,,,cash,factor,total
ABONAMENTE,3530,2120,2052,1600,8677,4166,2010,984,1136,878,1913,29066,,,1,7,7
Cash,1630,560,664,820,3006,2476,930,610,596,320,840,12452,,,5,5,25
Card,1900,1560,1388,300,2055,1450,1080,374,540,558,1073,12278,,,10,44,440
Transfer,,,,480,3616,240,,,,,5114,9450,revolut,,20,5,100
Reinscriere,,,,,,,,,,,,0,,,50,45,2250
Cash,,,,,,,,,,,,0,,,100,47,4700
Card,50,150,250,,200,,200,50,50,50,,,,,200,18,3600
Transfer,,,,,,,,,,,,,,,500,,0
NOTA,240,,200,550,,,,,,,230,,,,TOTAL,,11122
detalii nota,tricouri DD,,zumba,selgros si open,,,,,,,open,,,,,,
,,,,,,,,,,,,,De depus,4526,,,
TOTAL,3290,2120,1852,1050,8677,4166,2010,984,1136,878,1683,27846,Private ,,,,
CASH,1390,560,464,270,3006,2476,930,610,596,320,610,11232,"Partial feb, mart",,,,
CARD,1950,1710,1638,300,2255,1450,1280,424,590,608,1073,13278,,,,,
